version,file,file_status,detected_columns,useful_columns_found,useful_columns_missing
v_1.5.25,logback-coreclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
v_1.5.25,logback-classicclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
v_1.5.26,logback-coreclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
v_1.5.26,logback-classicclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
v_1.5.27,logback-coreclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
v_1.5.27,logback-classicclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
v_1.5.28,logback-coreclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
v_1.5.28,logback-classicclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
v_1.5.29,logback-coreclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
v_1.5.29,logback-classicclass.csv,found,file|class|type|cbo|cboModified|fanin|fanout|wmc|dit|noc|rfc|lcom|lcom*|tcc|lcc|totalMethodsQty|staticMethodsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|defaultMethodsQty|visibleMethodsQty|abstractMethodsQty|finalMethodsQty|synchronizedMethodsQty|totalFieldsQty|staticFieldsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty|defaultFieldsQty|finalFieldsQty|synchronizedFieldsQty|nosi|loc|returnQty|loopQty|comparisonsQty|tryCatchQty|parenthesizedExpsQty|stringLiteralsQty|numbersQty|assignmentsQty|mathOperationsQty|variablesQty|maxNestedBlocksQty|anonymousClassesQty|innerClassesQty|lambdasQty|uniqueWordsQty|modifiers|logStatementsQty,cbo|wmc|rfc|lcom|dit|noc|loc|totalMethodsQty|totalFieldsQty|publicMethodsQty|privateMethodsQty|protectedMethodsQty|publicFieldsQty|privateFieldsQty|protectedFieldsQty,
