version,class_count,avg_cbo,avg_wmc,avg_rfc,avg_lcom,avg_dit,avg_noc,avg_loc,avg_methods,avg_fields,total_loc,total_methods,total_fields
v_1.5.25,670,4.119403,10.123881,7.897015,21.523881,2.029851,0.3,40.235821,5.410448,2.468657,26958,3625,1654
v_1.5.26,672,4.113095,10.110119,7.886905,21.501488,2.026786,0.299107,40.197917,5.403274,2.46131,27013,3631,1654
v_1.5.27,659,4.084977,10.16692,7.895296,21.981791,2.021244,0.298938,40.408194,5.420334,2.471927,26629,3572,1629
v_1.5.28,658,4.097264,10.191489,7.893617,22.039514,2.025836,0.299392,40.507599,5.43465,2.472644,26654,3576,1627
v_1.5.29,658,4.097264,10.191489,7.898176,22.039514,2.025836,0.299392,40.509119,5.43465,2.472644,26655,3576,1627
v_1.5.30,643,4.105754,10.289269,7.950233,22.25972,2.034215,0.304821,40.846034,5.461897,2.508554,26264,3512,1613
v_1.5.31,643,4.105754,10.289269,7.950233,22.25972,2.034215,0.304821,40.846034,5.461897,2.508554,26264,3512,1613
v_1.5.32,643,4.105754,10.292379,7.953344,22.287714,2.034215,0.304821,40.855365,5.463453,2.508554,26270,3513,1613
v_1.5.33,643,4.111975,10.297045,7.956454,22.317263,2.034215,0.304821,40.880249,5.465008,2.513219,26286,3514,1616
v_1.5.34,643,4.111975,10.297045,7.959565,22.326594,2.034215,0.304821,40.88958,5.466563,2.522551,26292,3515,1622
