version,checkout_status,ck_core_status,ck_classic_status,output_folder,notes
v_1.5.25,success,success,success,data/raw_metrics/v_1.5.25,already completed
v_1.5.26,success,success,success,data/raw_metrics/v_1.5.26,already completed
v_1.5.27,success,success,success,data/raw_metrics/v_1.5.27,already completed
v_1.5.28,success,success,success,data/raw_metrics/v_1.5.28,already completed
v_1.5.29,success,success,success,data/raw_metrics/v_1.5.29,already completed
v_1.5.30,success,success,success,data/raw_metrics/v_1.5.30,already completed
v_1.5.31,success,success,success,data/raw_metrics/v_1.5.31,already completed
v_1.5.32,success,success,success,data/raw_metrics/v_1.5.32,already completed
v_1.5.33,success,success,success,data/raw_metrics/v_1.5.33,already completed
v_1.5.34,success,success,success,data/raw_metrics/v_1.5.34,already completed
