file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\turbo\MatchingFilter.java,ch.qos.logback.classic.turbo.MatchingFilter,class,2,4,2,2,8,3,2,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,26,0,0,0,0,0,6,0,8,0,2,1,0,0,0,22,1025,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,interface,7,67,60,7,22,1,0,5,190,0.0,0.0,0.0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,1,28,3,0,1,0,0,0,1,1,0,1,1,0,0,0,158,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\filter\ThresholdFilter.java,ch.qos.logback.classic.filter.ThresholdFilter,class,4,4,0,4,6,2,0,5,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,22,3,0,1,0,0,0,0,1,0,1,1,0,0,0,50,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,class,8,10,2,8,9,2,0,22,0,0.44444445,1.0,1.0,3,0,2,1,0,0,2,0,0,0,3,1,0,0,0,3,1,0,2,50,3,1,3,0,0,6,2,11,0,11,2,0,0,0,99,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\encoder\JsonEncoder.java,ch.qos.logback.classic.encoder.JsonEncoder,class,10,11,1,10,90,2,0,64,401,0.93714267,0.19556452,0.7641129,35,0,17,3,14,1,32,0,0,0,55,41,23,17,10,5,38,0,0,350,18,8,24,0,0,29,17,99,2,81,3,0,0,0,296,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\tyler\TylerConfiguratorBase.java,ch.qos.logback.classic.tyler.TylerConfiguratorBase,class,15,17,2,15,22,2,0,23,85,0.9428572,0.10989011,0.10989011,15,0,10,1,4,0,14,0,0,0,7,5,5,0,2,0,5,0,1,87,12,0,4,1,2,11,0,19,2,19,1,0,0,1,124,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\STEUtil.java,ch.qos.logback.classic.spi.STEUtil,class,1,2,1,1,10,1,0,1,1,0.0,0.0,0.0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,40,4,2,2,0,0,0,12,6,4,6,2,0,0,0,20,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\pattern\FileOfCallerConverter.java,ch.qos.logback.classic.pattern.FileOfCallerConverter,class,2,3,1,2,3,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,0,0,2,1,0,1,1,0,0,0,12,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\pattern\LevelConverter.java,ch.qos.logback.classic.pattern.LevelConverter,class,3,4,1,3,1,3,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\pattern\LineSeparatorConverter.java,ch.qos.logback.classic.pattern.LineSeparatorConverter,class,2,2,0,2,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
