file,class,method,variable,usage
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\turbo\MatchingFilter.java,ch.qos.logback.classic.turbo.MatchingFilter,setOnMismatch/1[java.lang.String],action,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\turbo\MatchingFilter.java,ch.qos.logback.classic.turbo.MatchingFilter,setOnMatch/1[java.lang.String],action,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,getMarker/0,markers,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\filter\ThresholdFilter.java,ch.qos.logback.classic.filter.ThresholdFilter,decide/1[ch.qos.logback.classic.spi.ILoggingEvent],event,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\filter\ThresholdFilter.java,ch.qos.logback.classic.filter.ThresholdFilter,setLevel/1[java.lang.String],level,2
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,doLayout/1[ch.qos.logback.classic.spi.ILoggingEvent],stackTrace,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,doLayout/1[ch.qos.logback.classic.spi.ILoggingEvent],event,8
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,doLayout/1[ch.qos.logback.classic.spi.ILoggingEvent],tp,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,doLayout/1[ch.qos.logback.classic.spi.ILoggingEvent],sb,14
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,doLayout/1[ch.qos.logback.classic.spi.ILoggingEvent],timestamp,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,"kvp/2[ch.qos.logback.classic.spi.ILoggingEvent,java.lang.StringBuilder]",len,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,"kvp/2[ch.qos.logback.classic.spi.ILoggingEvent,java.lang.StringBuilder]",kvp,2
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,"kvp/2[ch.qos.logback.classic.spi.ILoggingEvent,java.lang.StringBuilder]",kvpList,4
