file,class,method,variable,usage
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],method,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],parameterCount,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],methodName,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isAdder/1[java.lang.reflect.Method],returnType,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],method,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],parameterCount,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],methodName,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isSetter/1[java.lang.reflect.Method],returnType,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,toLowerCamelCase/1[java.lang.String],string,8
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,toLowerCamelCase/1[java.lang.String],chars,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,"getSubstringIfPrefixMatches/2[java.lang.String,java.lang.String]",prefix,2
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,"getSubstringIfPrefixMatches/2[java.lang.String,java.lang.String]",wholeString,2
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],method,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],parameterCount,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],methodName,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,isGetter/1[java.lang.reflect.Method],returnType,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],method,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],methodName,4
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getPropertyName/1[java.lang.reflect.Method],rawPropertyName,7
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,getParameterCount/1[java.lang.reflect.Method],method,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\net\SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,flush/0,bytes,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\net\SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,flush/0,packet,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\net\SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"write/3[byte[],int,int]",offset,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\net\SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"write/3[byte[],int,int]",len,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\net\SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"write/3[byte[],int,int]",byteArray,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\net\SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,write/1[int],b,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\net\SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,"SyslogOutputStream/2[java.lang.String,int]",port,2
