file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\turbo\MatchingFilter.java,ch.qos.logback.classic.turbo.MatchingFilter,setOnMismatch/1[java.lang.String],false,39,0,0,0,0,4,1,11,0,0,1,1,0,0,0,0,0,0,3,0,3,0,1,0,0,0,5,17,0,false
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\turbo\MatchingFilter.java,ch.qos.logback.classic.turbo.MatchingFilter,setOnMatch/1[java.lang.String],false,29,0,0,0,0,4,1,11,0,0,1,1,0,0,0,0,0,0,3,0,3,0,1,0,0,0,5,17,0,false
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,getThreadName/0,false,35,0,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,getLoggerName/0,false,45,0,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,getThrowableProxy/0,false,49,1,9,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,getLoggerContextVO/0,false,47,1,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,getMarker/0,false,86,2,1,0,1,3,3,5,2,1,0,3,1,1,0,1,0,0,0,1,1,0,1,0,0,0,35,65536,0,true
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,getFormattedMessage/0,false,43,0,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,getTimeStamp/0,false,119,0,10,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\spi\ILoggingEvent.java,ch.qos.logback.classic.spi.ILoggingEvent,prepareForDeferredProcessing/0,false,168,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
