file,class,method,variable,usage
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\turbo\MatchingFilter.java,ch.qos.logback.classic.turbo.MatchingFilter,setOnMismatch/1[java.lang.String],onMismatch,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\turbo\MatchingFilter.java,ch.qos.logback.classic.turbo.MatchingFilter,setOnMatch/1[java.lang.String],onMatch,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\filter\ThresholdFilter.java,ch.qos.logback.classic.filter.ThresholdFilter,decide/1[ch.qos.logback.classic.spi.ILoggingEvent],level,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\filter\ThresholdFilter.java,ch.qos.logback.classic.filter.ThresholdFilter,start/0,level,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\filter\ThresholdFilter.java,ch.qos.logback.classic.filter.ThresholdFilter,setLevel/1[java.lang.String],level,3
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,start/0,tpc,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,doLayout/1[ch.qos.logback.classic.spi.ILoggingEvent],cachingDateFormatter,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,doLayout/1[ch.qos.logback.classic.spi.ILoggingEvent],tpc,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\layout\TTLLLayout.java,ch.qos.logback.classic.layout.TTLLLayout,"kvp/2[ch.qos.logback.classic.spi.ILoggingEvent,java.lang.StringBuilder]",DOUBLE_QUOTE_CHAR,2
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\encoder\JsonEncoder.java,ch.qos.logback.classic.encoder.JsonEncoder,"appendValueSeparator/2[java.lang.StringBuilder,boolean[]]",VALUE_SEPARATOR,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\encoder\JsonEncoder.java,ch.qos.logback.classic.encoder.JsonEncoder,encode/1[ch.qos.logback.classic.spi.ILoggingEvent],DEFAULT_SIZE,1
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-classic\src\main\java\ch\qos\logback\classic\encoder\JsonEncoder.java,ch.qos.logback.classic.encoder.JsonEncoder,encode/1[ch.qos.logback.classic.spi.ILoggingEvent],DEFAULT_SIZE_WITH_THROWABLE,1
