file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\util\beans\BeanUtil.java,ch.qos.logback.core.joran.util.beans.BeanUtil,class,1,4,3,1,28,1,0,15,15,0.71428573,0.3,0.6,7,7,5,2,0,0,5,0,0,0,4,4,4,0,0,0,4,0,11,90,20,0,9,0,0,4,8,20,0,16,2,0,0,0,81,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\net\SyslogOutputStream.java,ch.qos.logback.core.net.SyslogOutputStream,class,1,3,2,1,10,2,0,8,0,0.6,0.52380955,1.0,7,0,6,0,0,1,7,0,0,0,5,1,0,5,0,0,2,0,1,44,3,0,2,0,0,0,2,10,0,7,1,0,0,0,61,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\spi\SaxEventInterpreter.java,ch.qos.logback.core.joran.spi.SaxEventInterpreter,class,17,25,8,17,38,1,0,29,104,0.82272726,0.13333334,0.35238096,20,0,12,5,0,3,15,0,0,0,11,1,0,6,0,5,3,0,0,158,12,0,10,3,2,13,2,26,6,21,2,0,0,0,192,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\model\processor\DefaultProcessor.java,ch.qos.logback.core.model.processor.DefaultProcessor$TraverseMethod,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\spi\HttpUtil.java,ch.qos.logback.core.joran.spi.HttpUtil$RequestMethod,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\rolling\SizeAndTimeBasedFNATP.java,ch.qos.logback.core.rolling.SizeAndTimeBasedFNATP,class,3,3,0,3,1,4,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\spi\EventPlayer.java,ch.qos.logback.core.joran.spi.EventPlayer,class,5,7,2,5,8,1,0,6,0,0.33333334,1.0,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,0,0,3,2,0,0,32,1,1,0,0,0,0,1,4,1,4,2,0,0,0,29,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\rolling\helper\SizeAndTimeBasedArchiveRemover.java,ch.qos.logback.core.rolling.helper.SizeAndTimeBasedArchiveRemover$Anonymous1,anonymous,1,1,0,1,7,1,0,7,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18,6,0,2,0,0,0,4,4,0,4,2,0,0,0,22,-1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\joran\action\NOPAction.java,ch.qos.logback.core.joran.action.NOPAction,class,3,4,1,3,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
F:\Project\qmood-logback-llm-analysis\versions\logback\logback-core\src\main\java\ch\qos\logback\core\spi\CyclicBufferTracker.java,ch.qos.logback.core.spi.CyclicBufferTracker,class,3,4,1,3,8,2,0,3,22,0.8333333,0.10714286,0.10714286,8,0,3,0,3,2,8,0,0,0,3,2,0,0,0,3,2,0,0,30,5,0,0,0,0,0,2,4,0,3,0,0,0,0,48,1,0
